intervention,id_engagement_engin,victime,commune,categorie,id_engin,duree_engin_sur_intervention,heure,jour,,,,
6257979,67,1,BOBIGNY,SECOURS A PERSONNE,5146,3194,1,lundi,,,,
3477978,68,1,SAINT-DENIS,SECOURS A PERSONNE,5145,5620,1,lundi,,,,
9297978,69,1,NANTERRE,ACCIDENT,5358,10151,2,lundi,,,,
6467979,70,0,NANTERRE,Autres,5303,1819,2,lundi,,,,
917978,71,1,8EME ARRONDISSEMENT,SECOURS A PERSONNE,5097,2313,3,lundi,,,,
6777979,72,1,GENNEVILLIERS,SECOURS A PERSONNE,5089,3269,3,lundi,,,,
4227981,73,1,SAINT-DENIS,SECOURS A PERSONNE,5145,3989,5,lundi,,,,
1957980,74,0,AUBERVILLIERS,INCENDIE,5252,9246,5,lundi,,,,
9927979,75,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,5226,4207,6,lundi,,,,
1917980,76,0,AUBERVILLIERS,INCENDIE,2287,1105,5,lundi,,,,
4477978,77,0,AULNAY-SOUS-BOIS,Autres,2460,1887,2,lundi,,,,
8427978,78,0,19EME ARRONDISSEMENT,Autres,4965,1282,4,lundi,,,,
6837979,79,0,8EME ARRONDISSEMENT,Autres,4005,1452,4,lundi,,,,
9327978,80,1,CHOISY-LE-ROI,SECOURS A PERSONNE,4207,1430,3,lundi,,,,
7627979,81,0,COLOMBES,INCENDIE,4651,8299,3,lundi,,,,
3487978,82,1,LIVRY-GARGAN,SECOURS A PERSONNE,4231,2898,2,lundi,,,,
6067979,83,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,3723,2443,0,lundi,,,,
8467978,84,0,PRE-SAINT-GERVAIS (LE),SECOURS A PERSONNE,3723,117,0,lundi,,,,
2077980,85,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,4963,3880,6,lundi,,,,
987980,86,0,NEUILLY-SUR-MARNE,SECOURS A PERSONNE,4602,5941,6,lundi,,,,
6697979,87,1,NEUILLY-SUR-MARNE,SECOURS A PERSONNE,3748,3599,3,lundi,,,,
887978,88,1,5EME ARRONDISSEMENT,SECOURS A PERSONNE,2325,2686,2,lundi,,,,
9297978,89,0,NANTERRE,ACCIDENT,4322,5739,3,lundi,,,,
5467978,90,0,1ER ARRONDISSEMENT,Autres,4755,4767,0,lundi,,,,
5467978,91,0,1ER ARRONDISSEMENT,Autres,892,3086,0,lundi,,,,
7627979,92,0,COLOMBES,INCENDIE,724,8289,3,lundi,,,,
5517978,93,1,FONTENAY-AUX-ROSES,SECOURS A PERSONNE,4054,13650,3,lundi,,,,
2207980,94,0,SAINT-DENIS,Autres,4203,3303,7,lundi,,,,
6347979,95,1,SAINT-OUEN,SECOURS A PERSONNE,4205,2462,1,lundi,,,,
2117980,96,0,18EME ARRONDISSEMENT,SECOURS A PERSONNE,1526,6,7,lundi,,,,
227981,97,1,SURESNES,ACCIDENT,5330,2872,7,lundi,,,,
9537979,98,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,5349,5390,8,lundi,,,,
1077980,99,1,ISSY-LES-MOULINEAUX,ACCIDENT,5331,3808,8,lundi,,,,
1087980,100,1,DRANCY,SECOURS A PERSONNE,5359,8523,8,lundi,,,,
